Table Name: vehicleObservation$RecordAll$domain0, Topic Name: vehicleObservation
Timestamp,vehicle_id,header.create_stamp.nanoseconds,header.valid_after_stamp.nanoseconds,pose.x,pose.y,pose.yaw
1551295595949630998,3,1551295595920000000,1551295595920000000,1.9202473250,1.4768489466,-0.1779155267
1551295595966044998,3,1551295595940000000,1551295595940000000,1.8968193203,1.4800250884,-0.1860035436
1551295595984713998,3,1551295595960000000,1551295595960000000,1.8735505747,1.4848300516,-0.1860046150
1551295596004287000,3,1551295595980000000,1551295595980000000,1.8514877003,1.4893846067,-0.1644575335
1551295596028772000,3,1551295596000000000,1551295596000000000,1.8291348834,1.4930494964,-0.1660157606
1551295596044687000,3,1551295596020000000,1551295596020000000,1.8067246114,1.4971300017,-0.1745169058
1551295596062971000,3,1551295596040000000,1551295596040000000,1.7834565330,1.5019348574,-0.1745177579
1551295596084636000,3,1551295596060000000,1551295596060000000,1.7599304158,1.5045750501,-0.1892531955
1551295596110451000,3,1551295596060000000,1551295596060000000,1.7366726810,1.5086643451,-0.1860137830
1551295596122296000,3,1551295596080000000,1551295596080000000,1.7132265547,1.5125492530,-0.1974417998
1551295596143145000,3,1551295596100000000,1551295596100000000,1.6906258063,1.5150467992,-0.2135554366
1551295596162465000,3,1551295596120000000,1551295596120000000,1.6682242733,1.5177211380,-0.2153022968
1551295596188909000,3,1551295596140000000,1551295596140000000,1.6439362913,1.5231563022,-0.2200926883
1551295596205492000,3,1551295596160000000,1551295596160000000,1.6223506641,1.5267147420,-0.2347544734
1551295596221838000,3,1551295596180000000,1551295596180000000,1.5990550186,1.5322083258,-0.2383575177
1551295596241873000,3,1551295596200000000,1551295596200000000,1.5755520321,1.5360633959,-0.2502912261
1551295596264225000,3,1551295596220000000,1551295596220000000,1.5540175466,1.5399484820,-0.2609387001
1551295596285486000,3,1551295596240000000,1551295596240000000,1.5303187816,1.5448675955,-0.2842103635
1551295596301540000,3,1551295596260000000,1551295596260000000,1.5086885099,1.5485379266,-0.2976927139
1551295596319645000,3,1551295596280000000,1551295596280000000,1.4861915045,1.5543338203,-0.3094917366
1551295596347040000,3,1551295596300000000,1551295596300000000,1.4621530551,1.5585595588,-0.3420691958
1551295596359620000,3,1551295596320000000,1551295596320000000,1.4409231254,1.5652423568,-0.3420503109
1551295596380644000,3,1551295596340000000,1551295596340000000,1.4200908891,1.5694447120,-0.3610822763
1551295596399206000,3,1551295596360000000,1551295596360000000,1.3962884798,1.5754824510,-0.3832645524
1551295596420339999,3,1551295596380000000,1551295596380000000,1.3743287966,1.5812902049,-0.4076988141
1551295596437907999,3,1551295596400000000,1551295596400000000,1.3523648111,1.5880911501,-0.4321596161
1551295596457739999,3,1551295596420000000,1551295596420000000,1.3293739709,1.5949350097,-0.4568214834
1551295596478320999,3,1551295596440000000,1551295596440000000,1.3083891696,1.6009539230,-0.5051605088
1551295596507316999,3,1551295596460000000,1551295596460000000,1.2862182041,1.6086870299,-0.5314714166
1551295596517970999,3,1551295596480000000,1551295596480000000,1.2640243686,1.6158350178,-0.5802419691
1551295596538719999,3,1551295596500000000,1551295596500000000,1.2443785282,1.6240735151,-0.6131287864
1551295596560004999,3,1551295596520000000,1551295596520000000,1.2230748255,1.6347654457,-0.6402716210
1551295596583469999,3,1551295596540000000,1551295596540000000,1.2035326143,1.6430662351,-0.6883704619
1551295596596427999,3,1551295596560000000,1551295596560000000,1.1841762986,1.6548556793,-0.7139698645
1551295596622006999,3,1551295596580000000,1551295596580000000,1.1641285986,1.6659727006,-0.7512920828
1551295596636878999,3,1551295596600000000,1551295596600000000,1.1453909643,1.6775456582,-0.7814358208
1551295596665447999,3,1551295596620000000,1551295596620000000,1.1261694880,1.6906391363,-0.8370579274
1551295596676252999,3,1551295596640000000,1551295596640000000,1.1092109695,1.7050818395,-0.8696736184
1551295596695471999,3,1551295596660000000,1551295596660000000,1.0904944330,1.7181166107,-0.9129000308
1551295596721714999,3,1551295596680000000,1551295596680000000,1.0743295093,1.7326345822,-0.9463839553
1551295596735250999,3,1551295596700000000,1551295596700000000,1.0577244282,1.7486068816,-0.9718316222
1551295596754870999,3,1551295596720000000,1551295596720000000,1.0429595597,1.7647845528,-1.0131740161
1551295596777762998,3,1551295596740000000,1551295596740000000,1.0273653231,1.7810374713,-1.0792296670
1551295596794647999,3,1551295596760000000,1551295596760000000,1.0125807304,1.7986585623,-1.0917809616
1551295596824068998,3,1551295596780000000,1551295596780000000,0.9985485558,1.8146379685,-1.1468308995
1551295596835437998,3,1551295596800000000,1551295596800000000,0.9848132043,1.8323811977,-1.1844194853
1551295596854059998,3,1551295596820000000,1551295596820000000,0.9721405281,1.8511972799,-1.2208752377
1551295596872835998,3,1551295596840000000,1551295596840000000,0.9622298672,1.8709190435,-1.2595099766
1551295596896980998,3,1551295596860000000,1551295596860000000,0.9506044028,1.8886743728,-1.3059684188
1551295596913424998,3,1551295596880000000,1551295596880000000,0.9407137695,1.9086704853,-1.3434202426
1551295596932852998,3,1551295596900000000,1551295596900000000,0.9307533474,1.9297321005,-1.3819545825
1551295596952808998,3,1551295596920000000,1551295596920000000,0.9228852548,1.9498931568,-1.4179413737
1551295596976612998,3,1551295596940000000,1551295596940000000,0.9161457795,1.9690218342,-1.4632956396
1551295596991533998,3,1551295596960000000,1551295596960000000,0.9102888844,1.9912856291,-1.4992017760
1551295597014342000,3,1551295596980000000,1551295596980000000,0.9024444148,2.0117157456,-1.5463440816
1551295597031011000,3,1551295597000000000,1551295597000000000,0.8974548428,2.0322134968,-1.5942827601
1551295597055774000,3,1551295597020000000,1551295597020000000,0.8934225394,2.0538087916,-1.6310970318
1551295597070537000,3,1551295597040000000,1551295597040000000,0.8900793612,2.0745926219,-1.6829225492
1551295597091080000,3,1551295597060000000,1551295597060000000,0.8875675182,2.0963332900,-1.7132912282
1551295597111654000,3,1551295597080000000,1551295597080000000,0.8854452777,2.1172343455,-1.7505121267
1551295597137578000,3,1551295597100000000,1551295597100000000,0.8856160614,2.1400597403,-1.7847426586
1551295597149442000,3,1551295597120000000,1551295597120000000,0.8859938977,2.1611756669,-1.8278190731
