Timestamp,vehicle_id,stamp.nanoseconds,data._d,data.direct_control.motor_throttle,data.direct_control.steering_servo,data.speed_curvature.speed,data.speed_curvature.curvature,data.trajectory_segment.start_point.t.nanoseconds,data.trajectory_segment.start_point.px,data.trajectory_segment.start_point.py,data.trajectory_segment.start_point.vx,data.trajectory_segment.start_point.vy,data.trajectory_segment.end_point.t.nanoseconds,data.trajectory_segment.end_point.px,data.trajectory_segment.end_point.py,data.trajectory_segment.end_point.vx,data.trajectory_segment.end_point.vy
1539614134900442998,0,0,0,-0.1088867188,0.6933288574,0,0,0,0,0,0,0,0,0,0,0,0
1539614134920421998,0,0,0,-0.1088867188,0.6466674805,0,0,0,0,0,0,0,0,0,0,0,0
1539614134940342998,0,0,0,-0.1088867188,0.6066589355,0,0,0,0,0,0,0,0,0,0,0,0
1539614134960225998,0,0,0,-0.0989990234,0.5666503906,0,0,0,0,0,0,0,0,0,0,0,0
1539614134980236998,0,0,0,-0.0989990234,0.5266723633,0,0,0,0,0,0,0,0,0,0,0,0
1539614135000494000,0,0,0,-0.0989990234,0.5000000000,0,0,0,0,0,0,0,0,0,0,0,0
1539614135020434000,0,0,0,-0.0890808105,0.4599914551,0,0,0,0,0,0,0,0,0,0,0,0
1539614135040406000,0,0,0,-0.0890808105,0.3999938965,0,0,0,0,0,0,0,0,0,0,0,0
1539614135060593000,0,0,0,-0.0593872070,0.3133239746,0,0,0,0,0,0,0,0,0,0,0,0
1539614135080213000,0,0,0,-0.0395812988,0.2933349609,0,0,0,0,0,0,0,0,0,0,0,0
1539614135100414000,0,0,0,-0.0197753906,0.2533264160,0,0,0,0,0,0,0,0,0,0,0,0
1539614135120394000,0,0,0,-0.0000000000,0.1666870117,0,0,0,0,0,0,0,0,0,0,0,0
1539614135140527000,0,0,0,0.0065002441,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135160473000,0,0,0,0.0130004883,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135180323000,0,0,0,0.0260009766,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135200164000,0,0,0,0.0324707031,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135220402000,0,0,0,0.0324707031,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135240170000,0,0,0,0.0324707031,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135260207000,0,0,0,0.0389709473,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135280359000,0,0,0,0.0389709473,0.1533508301,0,0,0,0,0,0,0,0,0,0,0,0
1539614135300513000,0,0,0,0.0454711914,0.1333312988,0,0,0,0,0,0,0,0,0,0,0,0
1539614135320422000,0,0,0,0.0519714355,0.1266784668,0,0,0,0,0,0,0,0,0,0,0,0
1539614135340190000,0,0,0,0.0714416504,0.0933532715,0,0,0,0,0,0,0,0,0,0,0,0
1539614135360184999,0,0,0,0.0779418945,0.0866699219,0,0,0,0,0,0,0,0,0,0,0,0
1539614135380299999,0,0,0,0.0974121094,0.0600280762,0,0,0,0,0,0,0,0,0,0,0,0
1539614135400303999,0,0,0,0.1233825684,0.0400085449,0,0,0,0,0,0,0,0,0,0,0,0
1539614135420448999,0,0,0,0.1493530273,0.0200195312,0,0,0,0,0,0,0,0,0,0,0,0
1539614135440192999,0,0,0,0.1558532715,0.0066833496,0,0,0,0,0,0,0,0,0,0,0,0
1539614135460188999,0,0,0,0.1753234863,-0.0095214844,0,0,0,0,0,0,0,0,0,0,0,0
1539614135480426999,0,0,0,0.1753234863,-0.0095214844,0,0,0,0,0,0,0,0,0,0,0,0
1539614135500190999,0,0,0,0.1753234863,-0.0095214844,0,0,0,0,0,0,0,0,0,0,0,0
1539614135520343999,0,0,0,0.1753234863,-0.0095214844,0,0,0,0,0,0,0,0,0,0,0,0
1539614135540241999,0,0,0,0.1753234863,-0.0190429688,0,0,0,0,0,0,0,0,0,0,0,0
1539614135560208999,0,0,0,0.1753234863,-0.0190429688,0,0,0,0,0,0,0,0,0,0,0,0
1539614135580302999,0,0,0,0.1753234863,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614135600162999,0,0,0,0.1753234863,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614135620680999,0,0,0,0.1753234863,-0.0380859375,0,0,0,0,0,0,0,0,0,0,0,0
1539614135640252999,0,0,0,0.1753234863,-0.0571289062,0,0,0,0,0,0,0,0,0,0,0,0
1539614135660977999,0,0,0,0.1753234863,-0.0761718750,0,0,0,0,0,0,0,0,0,0,0,0
1539614135680330999,0,0,0,0.1753234863,-0.0856933594,0,0,0,0,0,0,0,0,0,0,0,0
1539614135700210999,0,0,0,0.1753234863,-0.1047363281,0,0,0,0,0,0,0,0,0,0,0,0
1539614135720727999,0,0,0,0.1753234863,-0.1237792969,0,0,0,0,0,0,0,0,0,0,0,0
1539614135740264999,0,0,0,0.1753234863,-0.1428222656,0,0,0,0,0,0,0,0,0,0,0,0
1539614135760580998,0,0,0,0.1753234863,-0.1523742676,0,0,0,0,0,0,0,0,0,0,0,0
1539614135780301998,0,0,0,0.1753234863,-0.1809387207,0,0,0,0,0,0,0,0,0,0,0,0
1539614135800301998,0,0,0,0.1753234863,-0.1999816895,0,0,0,0,0,0,0,0,0,0,0,0
1539614135820550998,0,0,0,0.1753234863,-0.2285461426,0,0,0,0,0,0,0,0,0,0,0,0
1539614135840258998,0,0,0,0.1753234863,-0.2475891113,0,0,0,0,0,0,0,0,0,0,0,0
1539614135860435998,0,0,0,0.1753234863,-0.2475891113,0,0,0,0,0,0,0,0,0,0,0,0
1539614135880322998,0,0,0,0.1753234863,-0.2571105957,0,0,0,0,0,0,0,0,0,0,0,0
1539614135900194998,0,0,0,0.1753234863,-0.2571105957,0,0,0,0,0,0,0,0,0,0,0,0
1539614135920446998,0,0,0,0.1753234863,-0.2571105957,0,0,0,0,0,0,0,0,0,0,0,0
1539614135940255998,0,0,0,0.1753234863,-0.2856750488,0,0,0,0,0,0,0,0,0,0,0,0
1539614135960325998,0,0,0,0.1753234863,-0.2952270508,0,0,0,0,0,0,0,0,0,0,0,0
1539614135980302998,0,0,0,0.1753234863,-0.3047485352,0,0,0,0,0,0,0,0,0,0,0,0
1539614136000179000,0,0,0,0.1753234863,-0.3047485352,0,0,0,0,0,0,0,0,0,0,0,0
1539614136020443000,0,0,0,0.1753234863,-0.3142700195,0,0,0,0,0,0,0,0,0,0,0,0
1539614136040256000,0,0,0,0.1753234863,-0.3142700195,0,0,0,0,0,0,0,0,0,0,0,0
1539614136060337000,0,0,0,0.1753234863,-0.3237915039,0,0,0,0,0,0,0,0,0,0,0,0
1539614136080292000,0,0,0,0.1753234863,-0.3237915039,0,0,0,0,0,0,0,0,0,0,0,0
1539614136100187000,0,0,0,0.1753234863,-0.3333129883,0,0,0,0,0,0,0,0,0,0,0,0
1539614136120593000,0,0,0,0.1753234863,-0.3428344727,0,0,0,0,0,0,0,0,0,0,0,0
1539614136140594000,0,0,0,0.1753234863,-0.3428344727,0,0,0,0,0,0,0,0,0,0,0,0
1539614136160393000,0,0,0,0.1753234863,-0.3428344727,0,0,0,0,0,0,0,0,0,0,0,0
1539614136180167000,0,0,0,0.1753234863,-0.3428344727,0,0,0,0,0,0,0,0,0,0,0,0
1539614136200161000,0,0,0,0.1753234863,-0.3428344727,0,0,0,0,0,0,0,0,0,0,0,0
1539614136220451000,0,0,0,0.1753234863,-0.3713989258,0,0,0,0,0,0,0,0,0,0,0,0
1539614136240232000,0,0,0,0.1753234863,-0.3809204102,0,0,0,0,0,0,0,0,0,0,0,0
1539614136260463000,0,0,0,0.1753234863,-0.3904418945,0,0,0,0,0,0,0,0,0,0,0,0
1539614136280192000,0,0,0,0.1753234863,-0.3999633789,0,0,0,0,0,0,0,0,0,0,0,0
1539614136300166000,0,0,0,0.1753234863,-0.4094848633,0,0,0,0,0,0,0,0,0,0,0,0
1539614136320361000,0,0,0,0.1753234863,-0.4285278320,0,0,0,0,0,0,0,0,0,0,0,0
1539614136340235000,0,0,0,0.1753234863,-0.4380798340,0,0,0,0,0,0,0,0,0,0,0,0
1539614136360382000,0,0,0,0.1753234863,-0.4571228027,0,0,0,0,0,0,0,0,0,0,0,0
1539614136380204999,0,0,0,0.1753234863,-0.4761657715,0,0,0,0,0,0,0,0,0,0,0,0
1539614136400180999,0,0,0,0.1753234863,-0.4952087402,0,0,0,0,0,0,0,0,0,0,0,0
1539614136420386999,0,0,0,0.1753234863,-0.5142517090,0,0,0,0,0,0,0,0,0,0,0,0
1539614136440236999,0,0,0,0.1753234863,-0.5237731934,0,0,0,0,0,0,0,0,0,0,0,0
1539614136460471999,0,0,0,0.1753234863,-0.5332946777,0,0,0,0,0,0,0,0,0,0,0,0
1539614136480162999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136500238999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136520329999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136540499999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136560460999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136580235999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136600387999,0,0,0,0.1753234863,-0.5428161621,0,0,0,0,0,0,0,0,0,0,0,0
1539614136620444999,0,0,0,0.1753234863,-0.5523376465,0,0,0,0,0,0,0,0,0,0,0,0
1539614136640220999,0,0,0,0.1753234863,-0.5523376465,0,0,0,0,0,0,0,0,0,0,0,0
1539614136660526999,0,0,0,0.1753234863,-0.5523376465,0,0,0,0,0,0,0,0,0,0,0,0
1539614136680179999,0,0,0,0.1753234863,-0.5523376465,0,0,0,0,0,0,0,0,0,0,0,0
1539614136700476999,0,0,0,0.1753234863,-0.5713806152,0,0,0,0,0,0,0,0,0,0,0,0
1539614136720373999,0,0,0,0.1753234863,-0.5713806152,0,0,0,0,0,0,0,0,0,0,0,0
1539614136740231999,0,0,0,0.1753234863,-0.5713806152,0,0,0,0,0,0,0,0,0,0,0,0
1539614136760590999,0,0,0,0.1753234863,-0.5713806152,0,0,0,0,0,0,0,0,0,0,0,0
1539614136780183999,0,0,0,0.1753234863,-0.5809326172,0,0,0,0,0,0,0,0,0,0,0,0
1539614136800234998,0,0,0,0.1753234863,-0.5809326172,0,0,0,0,0,0,0,0,0,0,0,0
1539614136820730998,0,0,0,0.1753234863,-0.5809326172,0,0,0,0,0,0,0,0,0,0,0,0
1539614136840312998,0,0,0,0.1753234863,-0.5904541016,0,0,0,0,0,0,0,0,0,0,0,0
1539614136860390998,0,0,0,0.1753234863,-0.5904541016,0,0,0,0,0,0,0,0,0,0,0,0
1539614136880228998,0,0,0,0.1753234863,-0.5904541016,0,0,0,0,0,0,0,0,0,0,0,0
1539614136900249998,0,0,0,0.1753234863,-0.5999755859,0,0,0,0,0,0,0,0,0,0,0,0
1539614136920301998,0,0,0,0.1753234863,-0.6094970703,0,0,0,0,0,0,0,0,0,0,0,0
1539614136940162998,0,0,0,0.1753234863,-0.6190185547,0,0,0,0,0,0,0,0,0,0,0,0
1539614136960401998,0,0,0,0.1753234863,-0.6190185547,0,0,0,0,0,0,0,0,0,0,0,0
1539614136980857998,0,0,0,0.1753234863,-0.6380615234,0,0,0,0,0,0,0,0,0,0,0,0
1539614137000258000,0,0,0,0.1753234863,-0.6380615234,0,0,0,0,0,0,0,0,0,0,0,0
